Upper and lower bounds for the problem
Iteration: 202;  Base position: 722.6938828086063 mm; Feasibility: YES!; Manipulability: 0.11799 
Iteration 203; Item picked: Cube_10; Base position: 1445.712733733158 mm; Feasibility: NO! 
Iteration: 204;  Base position: 214.45686406793106 mm; Feasibility: YES!; Manipulability: 0.13153 
Iteration 205; Item picked: Cube_10; Base position: -620.0117215189907 mm; Feasibility: NO! 
Iteration 206; Item picked: Cube_12; Base position: -712.6620529270076 mm; Feasibility: NO! 
Iteration 207; Item picked: Cube_12; Base position: -396.9079966749987 mm; Feasibility: NO! 
Iteration: 208;  Base position: 117.78533720737528 mm; Feasibility: YES!; Manipulability: 0.16705 
Iteration 209; Item picked: Cube_12; Base position: 1136.2370760839335 mm; Feasibility: NO! 
Iteration 210; Item picked: Cube_10; Base position: 884.5041458479864 mm; Feasibility: NO! 
Iteration 211; Item picked: Cube_10; Base position: -1205.3758679257094 mm; Feasibility: NO! 
Iteration: 212;  Base position: -286.48128557848736 mm; Feasibility: YES!; Manipulability: 0.16945 
Iteration 213; Item picked: Cube_10; Base position: -577.5251225508167 mm; Feasibility: NO! 
Iteration: 214;  Base position: -490.90179002503646 mm; Feasibility: YES!; Manipulability: 0.14618 
Iteration: 215;  Base position: -351.22789148866855 mm; Feasibility: YES!; Manipulability: 0.15774 
Iteration 216; Item picked: Cube_11; Base position: -589.7716796293764 mm; Feasibility: NO! 
Iteration 217; Item picked: Cube_10; Base position: -842.268375244292 mm; Feasibility: NO! 
Iteration: 218;  Base position: 494.40170789037825 mm; Feasibility: YES!; Manipulability: 0.11572 
Iteration 219; Item picked: Cube_11; Base position: -615.9560255963247 mm; Feasibility: NO! 
Iteration 220; Item picked: Cube_12; Base position: -597.3445228371229 mm; Feasibility: NO! 
Iteration: 221;  Base position: 754.9373327732828 mm; Feasibility: YES!; Manipulability: 0.13366 
Iteration: 222;  Base position: 281.0614933456127 mm; Feasibility: YES!; Manipulability: 0.16013 
Iteration 223; Item picked: Cube_12; Base position: -700.8659102483123 mm; Feasibility: NO! 
Iteration: 224;  Base position: 277.3486306886582 mm; Feasibility: YES!; Manipulability: 0.17177 
Iteration 225; Item picked: Cube_11; Base position: -1207.9123028183758 mm; Feasibility: NO! 
Iteration: 226;  Base position: -306.5162257795498 mm; Feasibility: YES!; Manipulability: 0.15756 
Iteration: 227;  Base position: 623.4046695990132 mm; Feasibility: YES!; Manipulability: 0.11201 
Iteration: 228;  Base position: 596.6791074639641 mm; Feasibility: YES!; Manipulability: 0.11527 
Iteration 229; Item picked: Cube_10; Base position: -684.0596983325922 mm; Feasibility: NO! 
