Upper and lower bounds for the problem
Iteration 253; Item picked: Cube_00; Base position: -887.3824755449184 mm; Feasibility: NO! 
Iteration 254; Item picked: Cube_01; Base position: 1200.4440257638544 mm; Feasibility: NO! 
Iteration 255; Item picked: Cube_01; Base position: -1175.8363163879344 mm; Feasibility: NO! 
Iteration 256; Item picked: Cube_00; Base position: 1017.1649694798402 mm; Feasibility: NO! 
Iteration 257; Item picked: Cube_02; Base position: 1285.561545350643 mm; Feasibility: NO! 
Iteration 258; Item picked: Cube_00; Base position: 840.5228096009159 mm; Feasibility: NO! 
Iteration 259; Item picked: Cube_02; Base position: -705.6971985829739 mm; Feasibility: NO! 
Iteration 260; Item picked: Cube_00; Base position: -1115.6045259768543 mm; Feasibility: NO! 
Iteration 261; Item picked: Cube_00; Base position: 865.233016418234 mm; Feasibility: NO! 
Iteration 262; Item picked: Cube_02; Base position: -690.7645888724579 mm; Feasibility: NO! 
Iteration: 263;  Base position: 255.36590074320088 mm; Feasibility: YES!; Manipulability: 0.18531 
Iteration: 264;  Base position: -61.36611637311239 mm; Feasibility: YES!; Manipulability: 0.21455 
Iteration 265; Item picked: Cube_01; Base position: 802.7770205676225 mm; Feasibility: NO! 
Iteration 266; Item picked: Cube_00; Base position: -906.4535738858593 mm; Feasibility: NO! 
Iteration 267; Item picked: Cube_00; Base position: 684.5420601485457 mm; Feasibility: NO! 
Iteration 268; Item picked: Cube_01; Base position: 794.7209492873089 mm; Feasibility: NO! 
Iteration 269; Item picked: Cube_01; Base position: -620.6763064904679 mm; Feasibility: NO! 
Iteration 270; Item picked: Cube_02; Base position: -705.8344133286342 mm; Feasibility: NO! 
Iteration 271; Item picked: Cube_01; Base position: 1218.5184273374548 mm; Feasibility: NO! 
Iteration: 272;  Base position: -255.42808758777255 mm; Feasibility: YES!; Manipulability: 0.20278 
Iteration 273; Item picked: Cube_00; Base position: 1152.9941907745574 mm; Feasibility: NO! 
Iteration 274; Item picked: Cube_01; Base position: -1249.4532227304082 mm; Feasibility: NO! 
Iteration: 275;  Base position: 444.8725195205286 mm; Feasibility: YES!; Manipulability: 0.15051 
Iteration 276; Item picked: Cube_02; Base position: -884.823913444903 mm; Feasibility: NO! 
Iteration 277; Item picked: Cube_01; Base position: 797.2648489345825 mm; Feasibility: NO! 
Iteration 278; Item picked: Cube_01; Base position: 1344.2435890605507 mm; Feasibility: NO! 
Iteration 279; Item picked: Cube_02; Base position: -654.1075775435788 mm; Feasibility: NO! 
Iteration 280; Item picked: Cube_01; Base position: -651.3093938390002 mm; Feasibility: NO! 
Iteration: 281;  Base position: 317.66973125919844 mm; Feasibility: YES!; Manipulability: 0.17041 
Iteration: 282;  Base position: 39.551112097602754 mm; Feasibility: YES!; Manipulability: 0.19118 
Iteration: 283;  Base position: -94.02538208293117 mm; Feasibility: YES!; Manipulability: 0.18567 
Iteration 284; Item picked: Cube_01; Base position: 1150.4201374006711 mm; Feasibility: NO! 
Iteration 285; Item picked: Cube_00; Base position: -977.0097501029097 mm; Feasibility: NO! 
Iteration: 286;  Base position: 301.2571996496365 mm; Feasibility: YES!; Manipulability: 0.17469 
Iteration 287; Item picked: Cube_01; Base position: -642.0549114696286 mm; Feasibility: NO! 
Iteration: 288;  Base position: -427.5782866562565 mm; Feasibility: YES!; Manipulability: 0.17364 
Iteration 289; Item picked: Cube_00; Base position: 1294.0749049513465 mm; Feasibility: NO! 
Iteration 290; Item picked: Cube_02; Base position: -1004.0114402308783 mm; Feasibility: NO! 
Iteration: 291;  Base position: 343.41583404154767 mm; Feasibility: YES!; Manipulability: 0.16482 
Iteration 292; Item picked: Cube_01; Base position: 1397.5997155106597 mm; Feasibility: NO! 
Iteration 293; Item picked: Cube_02; Base position: 1260.9786377068208 mm; Feasibility: NO! 
Iteration 294; Item picked: Cube_00; Base position: 585.9029998499873 mm; Feasibility: NO! 
Iteration 295; Item picked: Cube_00; Base position: 1204.6039909163692 mm; Feasibility: NO! 
Iteration: 296;  Base position: -155.6947050255617 mm; Feasibility: YES!; Manipulability: 0.19088 
Iteration 297; Item picked: Cube_01; Base position: 894.979746583711 mm; Feasibility: NO! 
Iteration 298; Item picked: Cube_01; Base position: 479.8457006793219 mm; Feasibility: NO! 
Iteration: 299;  Base position: 221.92978548904784 mm; Feasibility: YES!; Manipulability: 0.17076 
